Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-12,58.84,58.869999,56.2575,57.0075,56.432323,109317200,0
2018-02-13,56.639999,58.625,56.3125,58.157501,57.570724,62552400,1
2018-02-14,57.75,60.647499,57.637501,60.355,59.746056,74498800,2
2018-02-15,61.197498,62.092499,60.380001,61.625,61.003246,69890000,3
2018-02-16,61.349998,62.5,60.8675,60.959999,60.344948,63765600,4
2018-02-20,61.1875,62.967499,61.150002,62.27,61.641743,68624000,5
2018-02-21,62.922501,62.9925,60.34,60.377499,59.768333,89229200,6
2018-02-22,60.682499,61.407501,59.875,60.537498,59.963947,53436400,7
2018-02-23,61.142502,61.482498,60.630001,61.482498,60.900002,41530000,8
2018-02-26,61.950001,61.994999,61.014999,61.645,61.060959,46931200,9
2018-02-27,61.375,62.227501,61.282501,61.514999,60.932194,45543600,10
2018-02-28,61.625,62.025002,60.3825,60.5,59.926815,52311600,11
2018-03-01,60.477501,61.022499,57.029999,58.052502,57.502495,104012000,12
2018-03-02,56.965,59.200001,55.462502,59.134998,58.574738,91342800,13
2018-03-05,58.627499,59.3125,57.380001,58.912498,58.354347,62077600,14
2018-03-06,59.775002,60.735001,59.34,60.540001,59.966434,63680800,15
2018-03-07,59.5,60.987499,59.487499,60.459999,59.88718,58120800,16
2018-03-08,60.737499,60.737499,59.8475,60.294998,59.723747,41191200,17
2018-03-09,60.775002,61.462502,60.612499,61.3325,60.751423,50552400,18
2018-03-12,61.75,63.25,61.6675,62.439999,61.848431,60506000,19
2018-03-13,62.872501,63.625,61.509998,61.927502,61.340786,61977200,20
2018-03-14,62.362499,62.637501,61.555,62.185001,61.595852,50549600,21
2018-03-15,62.322498,63.154999,61.91,62.334999,61.744427,40195200,22
2018-03-16,62.5,62.8125,62.119999,62.619999,62.02673,39945600,23
2018-03-19,62.044998,62.337502,59.25,60.25,59.679176,71377200,24
2018-03-20,60.279999,62.787498,60.279999,62.395,61.803856,55469600,25
2018-03-21,62.330002,63,61.8325,62.139999,61.551273,43868800,26
2018-03-22,61.5,61.970001,60.084999,60.462502,59.889664,55119600,27
2018-03-23,60.599998,60.625,58.130001,58.2425,57.690701,73562000,28
2018-03-26,59.5,61.1325,58.974998,61.119999,60.540936,61142400,29
2018-03-27,61.9375,62.5,54.962502,56.380001,55.84584,140900000,30
2018-03-28,56.032501,57.3475,54.25,55.337502,54.813221,94590400,31
2018-03-29,56.0275,58.875,55.174999,57.897499,57.348969,91662800,32
2018-04-02,57.185001,58.662498,54.375,55.262501,54.738937,92209200,33
